bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,years_since_last_update,city_bin_1,city_bin_2,city_bin_3,city_bin_4,city_bin_5,city_bin_6
2,2.25,7.115582126184454,7.155396301896734,2.0,0,0,3,6.8679744089702925,5.602118820879701,7.607381425639791,7.556427969440253,12.861229755385692,0,0,1,0,0,1
3,1.5,7.293697720601438,9.603867842511304,1.0,0,0,4,7.293697720601438,0.0,7.580189417944541,7.587310506022615,12.476210463640776,1,1,0,0,1,0
4,2.5,7.901377353792616,8.29529885950246,2.0,0,0,3,7.901377353792616,0.0,7.60339933974067,7.602900462204755,13.488391642338136,1,0,0,0,1,0
2,1.0,6.608000625296087,9.105424202026622,1.0,0,0,3,6.608000625296087,0.0,7.575584651557793,7.6004023345004,11.954420303019829,1,1,0,0,1,0
3,2.25,7.346655163176539,8.614682812693495,2.0,0,0,3,7.346655163176539,0.0,7.59488438721652,7.601402334583733,13.079489278757944,0,0,1,0,1,0
4,1.0,7.528869256642251,8.463159302923751,1.5,0,0,1,7.528869256642251,0.0,7.550661243105336,0.0,12.96007971434688,0,0,1,0,0,1
3,1.75,7.421177528595393,8.594339400592892,2.0,0,0,5,7.421177528595393,0.0,7.556427969440253,0.0,13.7984549341967,0,0,1,0,0,1
3,1.5,7.313886831633462,8.754318540250866,1.0,0,0,5,7.313886831633462,0.0,7.577633832602728,0.0,12.498921347933312,0,0,1,0,0,1
4,2.25,7.7057128238944275,9.090768236835338,1.0,0,0,4,7.01301578963963,7.01301578963963,7.581719640125308,7.601901959875166,13.108264453024828,0,0,1,0,0,0
3,1.75,7.300472814267799,8.859505484519133,1.0,0,0,3,7.300472814267799,0.0,7.5883236773352225,0.0,13.138289874754529,0,0,1,0,1,0
3,2.5,7.951911381854188,10.793783324133198,1.0,0,3,3,7.534228326274089,6.878326468291325,7.598399329323964,0.0,13.118369412132902,0,0,0,1,0,0
4,2.25,7.824445930877619,9.04793908261736,1.0,0,0,4,7.378383712996714,6.803505257608338,7.590346945602565,7.601402334583733,13.375455557880317,0,0,1,0,0,0
3,3.0,7.237778191923443,6.985641817639208,2.0,0,0,3,7.039660349862076,5.525452939131784,7.604396348796338,0.0,12.51720875898106,0,0,1,0,0,1
5,2.75,8.108021221376747,10.075800860133011,2.0,0,0,4,7.692113339595466,7.030857476116121,7.588829878307813,0.0,13.33832278444113,1,1,0,1,0,1
4,2.5,7.560601162768557,9.055205875026193,2.0,0,2,4,7.560601162768557,0.0,7.598399329323964,0.0,12.634462951612717,1,0,1,1,0,0
2,1.5,7.170888478512505,7.424761761823209,1.0,0,2,3,7.170888478512505,0.0,7.572502985020384,7.602401335665818,13.434248674423012,0,0,1,0,0,1
4,2.5,7.886457270977689,8.294299608857235,2.0,0,0,3,7.886457270977689,0.0,7.601901959875166,0.0,13.272506035834049,0,0,0,0,0,1
5,2.75,8.03947991910045,9.21183924809992,1.0,0,2,4,7.415175109613295,7.273092595999522,7.587817219993427,0.0,13.78816813773251,0,0,0,1,1,0
5,1.5,7.550135342488429,9.232786560806012,1.0,0,0,3,7.030857476116121,6.647688373563329,7.581719640125308,7.60339933974067,12.931195607994267,0,0,1,0,1,0
4,2.5,8.309184527686298,9.1834829178063,1.0,0,4,3,7.67368812926773,7.555381944240273,7.589841512182657,7.60339933974067,13.307176826853262,0,1,0,0,1,0
4,2.5,7.701200180857446,9.04381342108087,1.0,0,0,3,7.307202314764738,6.580639137284949,7.596392304064196,7.605890001053122,12.584481683614833,0,1,0,0,0,0
3,2.75,7.969357742016346,9.40351943877092,2.0,0,3,4,7.9483852851118995,4.110873864173311,7.59488438721652,0.0,13.970815428599844,0,0,1,0,1,0
3,2.75,7.81237820598861,9.222861652529854,2.0,0,0,3,7.81237820598861,0.0,7.581209826196346,7.607381425639791,13.78349240399494,0,0,0,1,1,0
4,2.5,7.65491704784832,10.465728463248274,1.0,0,0,4,7.1631723908466425,6.710523109452428,7.593877844605118,0.0,13.034659396983944,1,0,0,0,1,0
3,1.0,6.947937068614969,8.517393171418904,1.0,0,0,3,6.947937068614969,0.0,7.580699752224563,7.595889917718538,11.895630175890286,0,0,1,0,0,1
3,1.75,7.193685818395112,8.922791623969637,1.0,0,0,3,7.193685818395112,0.0,7.581719640125308,7.60339933974067,13.573435175101192,0,0,1,0,0,0
3,2.5,7.300472814267799,7.372118028337787,2.0,0,0,3,7.048386408721883,5.802118375377063,7.606387389772652,0.0,12.653929715115275,0,0,1,0,0,1
2,1.0,6.68586094706836,8.738895704934043,1.0,0,0,3,6.68586094706836,0.0,7.578145472419466,7.603897968521881,12.553188042249866,0,0,1,0,0,1
4,4.0,7.736743682453495,8.740496729931813,1.5,0,0,5,7.43307534889858,6.398594934535208,7.57095858316901,0.0,13.398956696245586,0,0,1,0,0,1
3,2.5,7.484930283289661,7.305188215393037,3.0,0,0,3,7.378383712996714,5.198497031265826,7.604396348796338,0.0,13.27850350553774,0,0,1,0,0,1
2,1.0,6.8679744089702925,8.501267040865978,1.0,0,0,3,6.8679744089702925,0.0,7.57198844937744,7.600902459542082,12.5353835868915,0,0,1,0,0,1
2,1.0,7.065613363597717,8.699681400989514,1.0,0,0,4,6.878326468291325,5.303304908059076,7.571473648851271,7.6004023345004,13.023654026959798,0,0,1,0,0,1
4,2.75,7.867488568699128,8.333510708982942,3.0,0,0,5,7.555381944240273,6.55250788703459,7.555381944240273,0.0,13.381786397573514,0,0,1,0,0,1
3,1.75,7.621195162809845,10.029855851350934,1.0,0,0,4,7.621195162809845,0.0,7.591357046698551,0.0,12.774282824230957,1,1,0,0,1,0
2,1.0,6.985641817639208,7.891704659330107,1.0,0,0,4,6.580639137284949,5.8888779583328805,7.560080465021827,7.593877844605118,12.654009586426662,0,0,1,0,0,1
2,2.75,7.266128779556451,7.262628600974241,2.0,0,0,3,6.903747257584598,6.077642243349034,7.604396348796338,0.0,13.045471533873991,0,0,1,0,0,1
3,1.75,6.957497370876951,8.724369949208368,1.5,0,0,4,6.85751406254539,4.61512051684126,7.564757012905729,0.0,12.894390684533144,0,0,1,0,0,1
4,3.0,7.80016307039296,9.17626639164243,2.0,0,0,3,7.544861068658458,6.311734809152915,7.591861714889934,7.607878073278507,13.077340906555955,0,1,0,0,1,0
5,2.5,8.036249942132116,10.054748346376712,1.0,0,0,3,8.003363058629947,4.61512051684126,7.579678823090456,7.601402334583733,13.030250281476574,0,1,1,0,0,0
3,2.5,7.8826922062890254,9.14644164612595,1.0,0,0,5,7.427144133408616,6.878326468291325,7.588829878307813,0.0,13.284526443590266,1,0,1,0,1,0
2,1.0,6.947937068614969,8.617581365447506,1.0,0,0,3,6.947937068614969,0.0,7.576609766973037,7.598399329323964,13.186289836269998,0,0,1,0,0,1
4,2.5,7.926963544862978,11.05277711255522,2.0,0,0,3,7.926963544862978,0.0,7.599901959208498,0.0,13.367665993120989,0,0,0,1,0,0
4,2.5,7.937017489515454,8.406038142050075,2.0,0,0,3,7.937017489515454,0.0,7.607381425639791,7.556427969440253,13.11843366619348,1,0,0,0,0,1
