price	bedrooms	bathrooms	sqft_living	sqft_lot	floors	waterfront	view	condition	sqft_above	sqft_basement	yr_built	yr_renovated	years_since_last_update	city_bin_1	city_bin_2	city_bin_3	city_bin_4	city_bin_5	city_bin_6
12.65396166	3	1.5	7.201170883	8.976262256	1.5	0	0	3	7.201170883	0	7.578656851	7.603897969	12.64753533	1	0	1	0	0	1
14.68429073	5	2.5	8.202756382	9.110630528	2	0	4	5	8.122964715	5.638354669	7.56112159	0	14.68348461	0	0	1	0	0	1
12.74256894	3	2	7.565793282	9.388319179	1	0	0	4	7.565793282	0	7.584264818	0	12.73680383	1	1	0	0	1	0
12.94801237	3	2.25	7.601402335	8.991064332	1	0	0	4	6.908754779	6.908754779	7.582738489	0	12.94332762	0	0	1	0	0	0
13.21767538	4	2.5	7.570958583	9.25922577	1	0	0	4	7.03966035	6.685860947	7.589335823	7.59739632	13.21404699	0	0	0	0	0	1
13.10216271	2	1	6.781057626	8.761080104	1	0	0	3	6.781057626	0	7.569927655	7.598399329	13.09808503	0	0	1	0	0	1
12.7218888	2	2	7.208600338	7.848153086	1	0	0	3	7.208600338	0	7.589335823	0	12.71597284	0	0	0	0	0	1
13.08570147	4	2.5	7.905072849	10.48762869	2	0	0	3	7.905072849	0	7.595889918	0	13.08156638	0	1	1	0	1	0
13.02254525	3	2.5	7.796057974	11.38993263	1	0	0	4	7.359467638	6.758094504	7.593877845	0	13.01814887	0	0	1	1	1	0
13.36922502	4	2	7.327123292	8.732465848	1.5	0	0	3	7.327123292	0	7.573531263	7.60638739	13.36607946	0	0	1	0	0	1
13.04548449	3	1.75	7.444833274	8.89850221	1	0	0	3	7.444833274	0	7.5750717	7.598399329	13.04116851	1	0	1	0	1	0
14.15198351	4	2.5	7.979681302	8.294299609	1.5	0	0	5	7.555381944	6.918695219	7.554858521	7.595387279	14.1505625	0	0	1	0	0	1
13.2853339	3	1.75	7.754052639	9.608646583	1	0	0	3	7.586296307	5.888877958	7.591357047	0	13.28196375	0	1	0	0	0	1
12.80765537	3	1	6.994849986	8.769662508	1	0	0	4	6.994849986	0	7.578656851	7.605890001	12.80213607	0	0	1	0	0	1
13.99783295	5	2.75	7.976251944	9.157045075	1.5	0	0	3	7.976251944	0	7.570443252	7.585788822	13.99619077	0	0	1	0	0	1
12.39876111	3	1.5	7.090909822	9.182043773	1	0	0	4	7.090909822	0	7.583756301	0	12.39062505	1	1	0	0	1	0
12.94562859	3	1.5	7.359467638	8.810012048	1	0	0	4	7.359467638	0	7.579167967	0	12.94094941	0	0	1	0	0	0
12.81448132	4	3	8.042699497	8.886270902	2	0	0	3	8.042699497	0	7.599901959	0	12.8090325	0	1	0	0	0	0
12.46052492	3	1.75	7.22329568	8.67573422	1	0	0	3	7.22329568	0	7.594884387	7.601402335	12.4527413	1	1	0	1	0	0
12.52453001	3	1.5	7.074116816	9.237760968	1	0	0	3	7.074116816	0	7.592870288	7.605890001	12.51719777	0	0	1	1	1	0
13.52782982	3	1.75	7.714677474	9.266626183	2	0	0	5	7.346655163	6.538139824	7.562161631	0	13.52526253	0	0	1	0	0	1
12.98310361	4	1	7.280008253	9.08262063	1	0	0	4	7.280008253	0	7.578145472	7.590852124	12.97854381	0	0	1	0	0	0
13.34710725	3	2.25	7.467942332	7.360739903	2.5	0	0	3	7.293697721	5.638354669	7.603897969	0	13.34389924	0	0	1	0	0	1
13.32530585	4	2.5	7.912423121	9.414260328	2	0	0	3	7.912423121	0	7.596894438	0	13.32204995	0	1	1	0	0	0
13.11231506	4	1.75	7.378383713	8.761080104	1	0	0	3	7.030857476	6.154858094	7.580699752	7.595889918	13.10828879	0	0	1	0	0	1
12.56024797	3	2.5	7.645397699	9.290536914	1	0	0	4	7.215975003	6.59441346	7.594884387	0	12.55325165	1	1	1	1	0	0
13.32937917	3	1.75	7.766840537	8.894533136	1	0	0	4	7.215975003	6.908754779	7.5750717	0	13.32620667	0	0	1	0	0	1
13.45597581	4	2.25	7.696667082	9.328212293	1.5	0	0	5	7.170888479	6.803505258	7.560601163	0	13.45322131	0	0	1	0	1	0
13.42246945	5	2.5	7.944846711	11.12016432	2	0	0	3	7.944846711	0	7.590852124	7.608374474	13.41948129	1	0	0	0	1	0
