satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales_RandD,sales_accounting,sales_hr,sales_management,sales_marketing,sales_product_mng,sales_sales,sales_support,sales_technical,salary
-0.9364946890660525,-1.0872752890605568,-1.4628629148312604,-0.8820398765705111,-0.3412351634317259,0,1,0,0,0,0,0,0,0,1,0,0,0
0.7528143315270648,0.840706927367526,0.9711129237526113,1.220422760515166,1.7134361397848363,0,1,0,0,0,0,0,0,0,1,0,0,1
-2.0224790594473423,0.9575543344237735,2.5937634828085256,1.4206572973804688,0.34365527097379484,0,1,0,0,0,0,0,0,0,1,0,0,1
0.43104118474742315,0.8991306308956497,0.9711129237526113,0.43950806674048604,1.0285457053793157,0,1,0,0,0,0,0,0,0,1,0,0,0
-0.9767163324135077,-1.1456989925886807,-1.4628629148312604,-0.8419929691974506,-0.3412351634317259,0,1,0,0,0,0,0,0,0,1,0,0,0
-0.8158297590236872,-1.2625463996449282,-1.4628629148312604,-0.9621336913166321,-0.3412351634317259,0,1,0,0,0,0,0,0,0,1,0,0,0
-2.0627007027947974,0.31489359561441255,1.7824382032805686,0.9200709552172123,0.34365527097379484,0,1,0,0,0,0,0,0,0,1,0,0,0
1.2354740516965268,0.7822832238394022,0.9711129237526113,1.1603523994555753,1.0285457053793157,0,1,0,0,0,0,0,0,0,1,0,0,0
1.1148091216541611,1.6586387767612583,0.9711129237526113,0.45953152042701634,1.0285457053793157,0,1,0,0,0,0,0,0,0,1,0,0,0
-0.7756081156762319,-1.0872752890605568,-1.4628629148312604,-1.182391681868465,-0.3412351634317259,0,1,0,0,0,0,0,0,0,1,0,0,0
-0.6549431856338663,-1.0288515855324332,-1.4628629148312604,-1.3225558576741767,-0.3412351634317259,0,1,0,0,0,0,0,0,0,1,0,0,0
-2.0224790594473423,0.5485884097269077,1.7824382032805686,2.0814312690359675,0.34365527097379484,0,1,0,0,0,0,0,0,0,1,0,0,0
0.9137009049168852,1.1912491485362686,0.1597876442246541,0.659766057292319,1.0285457053793157,0,1,0,0,0,0,0,0,0,1,0,0,0
-0.8158297590236872,-0.9704278820043093,-1.4628629148312604,-1.0622509597492835,-0.3412351634317259,0,1,0,0,0,0,0,0,0,1,0,0,0
-1.016937975760963,-0.9120041784761855,-1.4628629148312604,-1.2825089503011162,-0.3412351634317259,0,1,0,0,0,0,0,0,0,1,0,0,0
-0.9364946890660525,-1.0288515855324332,-1.4628629148312604,-1.1623682281819347,-0.3412351634317259,0,1,0,0,0,0,0,0,0,1,0,0,0
